assignee	assignee_id
JIRAUSER286215	276
JIRAUSER286251	277
JIRAUSER286259	278
JIRAUSER286262	279
JIRAUSER286367	280
JIRAUSER286379	281
JIRAUSER286381	282
JIRAUSER286428	283
JIRAUSER286438	284
JIRAUSER286449	285
JIRAUSER286471	286
JIRAUSER286520	287
JIRAUSER286541	288
JIRAUSER286565	289
JIRAUSER286574	290
JIRAUSER286595	291
JIRAUSER286598	292
JIRAUSER286630	293
JIRAUSER286638	294
JIRAUSER286643	295
JIRAUSER286647	296
JIRAUSER286648	297
JIRAUSER286684	298
JIRAUSER286686	299
JIRAUSER286694	300
JIRAUSER286698	301
JIRAUSER286703	302
JIRAUSER286706	303
JIRAUSER286764	304
JIRAUSER286781	305
JIRAUSER286840	306
JIRAUSER286872	307
JIRAUSER286879	308
JIRAUSER286905	309
JIRAUSER286935	310
JIRAUSER286942	311
JIRAUSER286951	312
JIRAUSER286971	313
JIRAUSER287016	314
JIRAUSER287036	315
JIRAUSER287051	316
JIRAUSER287068	317
JIRAUSER287127	318
JIRAUSER287162	319
JIRAUSER287190	320
JIRAUSER287209	321
JIRAUSER287223	322
JIRAUSER287258	323
JIRAUSER287269	324
JIRAUSER287270	325
JIRAUSER287279	326
JIRAUSER287283	327
JIRAUSER287294	328
JIRAUSER287309	329
JIRAUSER287310	330
JIRAUSER287330	331
JIRAUSER287332	332
JIRAUSER287353	333
JIRAUSER287407	334
JIRAUSER287412	335
JIRAUSER287420	336
JIRAUSER287438	337
JIRAUSER287479	338
JIRAUSER287487	339
JIRAUSER287495	340
JIRAUSER287514	341
JIRAUSER287544	342
JIRAUSER287549	343
JIRAUSER287560	344
JIRAUSER287587	345
JIRAUSER287599	346
JIRAUSER287634	347
JIRAUSER287653	348
JIRAUSER287674	349
JIRAUSER287700	350
JIRAUSER287706	351
JIRAUSER287760	352
JIRAUSER287764	353
JIRAUSER287776	354
JIRAUSER287781	355
JIRAUSER287791	356
JIRAUSER287796	357
JIRAUSER287802	358
JIRAUSER287826	359
JIRAUSER287852	360
JIRAUSER287853	361
JIRAUSER287865	362
JIRAUSER287867	363
JIRAUSER287868	364
JIRAUSER287884	365
JIRAUSER287895	366
JIRAUSER287918	367
JIRAUSER287926	368
JIRAUSER287964	369
JIRAUSER287970	370
JIRAUSER287975	371
JIRAUSER288006	372
JIRAUSER288023	373
JIRAUSER288050	374
JIRAUSER288107	375
JIRAUSER288141	376
JIRAUSER288173	377
JIRAUSER288179	378
JIRAUSER288206	379
JIRAUSER288319	380
JIRAUSER288374	381
JIRAUSER288391	382
JIRAUSER288392	383
JIRAUSER288407	384
JIRAUSER288430	385
JIRAUSER288438	386
JIRAUSER288446	387
JIRAUSER288476	388
JIRAUSER288477	389
JIRAUSER288515	390
JIRAUSER288524	391
JIRAUSER288547	392
JIRAUSER288559	393
JIRAUSER288574	394
JIRAUSER288599	395
JIRAUSER288618	396
JIRAUSER288634	397
JIRAUSER288655	398
JIRAUSER288676	399
JIRAUSER288725	400
JIRAUSER288750	401
JIRAUSER288792	402
JIRAUSER288793	403
JIRAUSER288796	404
JIRAUSER288853	405
JIRAUSER288866	406
JIRAUSER288917	407
JIRAUSER288952	408
JIRAUSER288956	409
JIRAUSER288963	410
JIRAUSER289101	411
JIRAUSER289102	412
JIRAUSER289108	413
JIRAUSER289133	414
JIRAUSER289157	415
JIRAUSER289179	416
JIRAUSER289180	417
JIRAUSER289251	418
JIRAUSER289255	419
JIRAUSER289288	420
JIRAUSER289353	421
JIRAUSER289360	422
JIRAUSER289399	423
JIRAUSER289445	424
JIRAUSER289516	425
JIRAUSER289526	426
JIRAUSER289541	427
JIRAUSER289568	428
JIRAUSER289625	429
JIRAUSER289640	430
JIRAUSER289645	431
JIRAUSER289647	432
JIRAUSER289681	433
JIRAUSER289702	434
JIRAUSER289720	435
JIRAUSER289727	436
JIRAUSER289743	437
JIRAUSER289843	438
JIRAUSER289844	439
JIRAUSER289851	440
JIRAUSER289886	441
JIRAUSER289899	442
JIRAUSER289924	443
JIRAUSER289936	444
JIRAUSER289998	445
JIRAUSER290001	446
JIRAUSER290015	447
JIRAUSER290028	448
JIRAUSER290038	449
JIRAUSER290043	450
JIRAUSER290047	451
JIRAUSER290080	452
JIRAUSER290145	453
JIRAUSER290146	454
JIRAUSER290151	455
JIRAUSER290156	456
JIRAUSER290163	457
JIRAUSER290221	458
JIRAUSER290226	459
JIRAUSER290256	460
JIRAUSER290268	461
JIRAUSER290277	462
JIRAUSER290343	463
JIRAUSER290345	464
JIRAUSER290349	465
JIRAUSER290356	466
JIRAUSER290398	467
JIRAUSER290426	468
JIRAUSER290460	469
JIRAUSER290461	470
JIRAUSER290463	471
JIRAUSER290467	472
JIRAUSER290561	473
JIRAUSER290564	474
JIRAUSER290583	475
JIRAUSER290598	476
JIRAUSER290636	477
JIRAUSER290641	478
JIRAUSER290651	479
JIRAUSER290685	480
JIRAUSER290686	481
JIRAUSER290742	482
JIRAUSER290754	483
JIRAUSER290821	484
JIRAUSER290857	485
JIRAUSER290903	486
JIRAUSER290945	487
JIRAUSER290949	488
JIRAUSER290979	489
JIRAUSER290990	490
JIRAUSER291037	491
JIRAUSER291050	492
JIRAUSER291070	493
JIRAUSER291110	494
JIRAUSER291208	495
JIRAUSER291251	496
JIRAUSER291255	497
JIRAUSER291261	498
JIRAUSER291266	499
JIRAUSER291276	500
JIRAUSER291288	501
JIRAUSER291312	502
JIRAUSER291362	503
JIRAUSER291370	504
JIRAUSER291383	505
JIRAUSER291445	506
JIRAUSER291465	507
JIRAUSER291491	508
JIRAUSER291529	509
JIRAUSER291537	510
JIRAUSER291543	511
JIRAUSER291555	512
JIRAUSER291572	513
JIRAUSER291587	514
JIRAUSER291670	515
JIRAUSER291710	516
JIRAUSER291715	517
JIRAUSER291727	518
JIRAUSER291736	519
JIRAUSER291741	520
JIRAUSER291782	521
JIRAUSER291783	522
JIRAUSER291788	523
JIRAUSER291813	524
JIRAUSER291822	525
JIRAUSER291901	526
JIRAUSER292011	527
JIRAUSER292079	528
JIRAUSER292116	529
JIRAUSER292117	530
JIRAUSER292152	531
JIRAUSER292212	532
JIRAUSER292271	533
JIRAUSER292282	534
JIRAUSER292292	535
JIRAUSER292336	536
JIRAUSER292368	537
JIRAUSER292370	538
JIRAUSER292511	539
JIRAUSER292521	540
JIRAUSER292551	541
JIRAUSER292569	542
JIRAUSER292570	543
JIRAUSER292573	544
JIRAUSER292575	545
JIRAUSER292576	546
JIRAUSER292577	547
JIRAUSER292581	548
JIRAUSER292583	549
JIRAUSER292584	550
JIRAUSER292585	551
JIRAUSER292597	552
JIRAUSER292600	553
JIRAUSER292602	554
JIRAUSER292614	555
JIRAUSER292620	556
JIRAUSER292646	557
JIRAUSER292649	558
JIRAUSER292657	559
JIRAUSER292672	560
JIRAUSER292686	561
JIRAUSER292694	562
JIRAUSER292697	563
JIRAUSER292698	564
JIRAUSER292755	565
JIRAUSER292801	566
JIRAUSER292841	567
JIRAUSER292872	568
JIRAUSER292899	569
JIRAUSER292918	570
JIRAUSER292955	571
JIRAUSER292959	572
JIRAUSER292983	573
JIRAUSER292988	574
JIRAUSER292992	575
JIRAUSER293080	576
JIRAUSER293138	577
JIRAUSER293161	578
JIRAUSER293192	579
JIRAUSER293222	580
JIRAUSER293246	581
JIRAUSER293257	582
JIRAUSER293264	583
JIRAUSER293283	584
JIRAUSER293288	585
JIRAUSER293370	586
JIRAUSER293447	587
JIRAUSER293450	588
JIRAUSER293565	589
JIRAUSER293613	590
JIRAUSER293639	591
JIRAUSER293716	592
JIRAUSER293719	593
JIRAUSER293723	594
JIRAUSER293724	595
JIRAUSER293750	596
JIRAUSER293759	597
JIRAUSER293774	598
JIRAUSER293793	599
JIRAUSER293894	600
JIRAUSER293905	601
JIRAUSER293907	602
JIRAUSER293999	603
JIRAUSER294058	604
JIRAUSER294084	605
JIRAUSER294151	606
JIRAUSER294158	607
JIRAUSER294231	608
JIRAUSER294309	609
JIRAUSER294418	610
JIRAUSER294419	611
JIRAUSER294444	612
JIRAUSER294447	613
JIRAUSER294467	614
JIRAUSER294484	615
JIRAUSER294519	616
JIRAUSER294537	617
JIRAUSER294562	618
JIRAUSER294567	619
JIRAUSER294595	620
JIRAUSER294621	621
JIRAUSER294635	622
JIRAUSER294642	623
JIRAUSER294653	624
JIRAUSER294659	625
JIRAUSER294662	626
JIRAUSER294676	627
JIRAUSER294685	628
JIRAUSER294710	629
JIRAUSER294755	630
JIRAUSER294764	631
JIRAUSER294798	632
JIRAUSER294839	633
JIRAUSER294847	634
JIRAUSER294860	635
JIRAUSER294888	636
JIRAUSER294893	637
JIRAUSER294895	638
JIRAUSER294960	639
JIRAUSER295017	640
JIRAUSER295036	641
JIRAUSER295061	642
JIRAUSER295067	643
JIRAUSER295073	644
JIRAUSER295097	645
JIRAUSER295101	646
JIRAUSER295132	647
JIRAUSER295134	648
JIRAUSER295144	649
JIRAUSER295145	650
JIRAUSER295173	651
JIRAUSER295200	652
JIRAUSER295201	653
JIRAUSER295232	654
JIRAUSER295265	655
JIRAUSER295276	656
JIRAUSER295347	657
JIRAUSER295386	658
JIRAUSER295401	659
JIRAUSER295411	660
JIRAUSER295412	661
JIRAUSER295454	662
JIRAUSER295459	663
JIRAUSER295465	664
JIRAUSER295489	665
JIRAUSER295540	666
JIRAUSER295571	667
JIRAUSER295637	668
JIRAUSER295683	669
JIRAUSER295692	670
JIRAUSER295698	671
JIRAUSER295704	672
JIRAUSER295709	673
JIRAUSER295730	674
JIRAUSER295732	675
JIRAUSER295739	676
JIRAUSER295759	677
JIRAUSER295764	678
JIRAUSER295820	679
JIRAUSER295823	680
JIRAUSER295863	681
JIRAUSER295887	682
JIRAUSER295901	683
JIRAUSER295920	684
JIRAUSER295926	685
JIRAUSER295941	686
JIRAUSER295948	687
JIRAUSER295961	688
JIRAUSER295965	689
JIRAUSER295992	690
JIRAUSER296004	691
JIRAUSER296006	692
JIRAUSER296032	693
JIRAUSER296051	694
JIRAUSER296057	695
JIRAUSER296110	696
JIRAUSER296134	697
JIRAUSER296213	698
JIRAUSER296232	699
JIRAUSER296261	700
JIRAUSER296268	701
JIRAUSER296282	702
JIRAUSER296301	703
JIRAUSER296314	704
JIRAUSER296344	705
JIRAUSER296348	706
JIRAUSER296385	707
JIRAUSER296391	708
JIRAUSER296392	709
JIRAUSER296422	710
JIRAUSER296453	711
JIRAUSER296497	712
JIRAUSER296546	713
JIRAUSER296567	714
JIRAUSER296623	715
JIRAUSER296650	716
JIRAUSER296659	717
JIRAUSER296693	718
JIRAUSER296695	719
JIRAUSER296699	720
JIRAUSER296731	721
JIRAUSER296737	722
JIRAUSER296755	723
JIRAUSER296763	724
JIRAUSER296794	725
JIRAUSER296801	726
JIRAUSER296863	727
JIRAUSER296902	728
JIRAUSER296909	729
JIRAUSER296928	730
JIRAUSER296932	731
JIRAUSER297020	732
JIRAUSER297030	733
JIRAUSER297035	734
JIRAUSER297040	735
JIRAUSER297048	736
JIRAUSER297062	737
JIRAUSER297237	738
JIRAUSER297263	739
JIRAUSER297340	740
JIRAUSER297350	741
JIRAUSER297355	742
JIRAUSER297367	743
JIRAUSER297383	744
JIRAUSER297406	745
JIRAUSER297410	746
JIRAUSER297414	747
JIRAUSER297415	748
JIRAUSER297417	749
JIRAUSER297431	750
JIRAUSER297479	751
JIRAUSER297487	752
JIRAUSER297523	753
JIRAUSER297542	754
JIRAUSER297580	755
JIRAUSER297606	756
JIRAUSER297608	757
JIRAUSER297641	758
JIRAUSER297744	759
JIRAUSER297746	760
JIRAUSER297774	761
JIRAUSER297795	762
JIRAUSER297806	763
JIRAUSER297809	764
JIRAUSER297811	765
JIRAUSER297852	766
JIRAUSER297855	767
JIRAUSER297861	768
JIRAUSER297884	769
JIRAUSER297926	770
JIRAUSER297982	771
JIRAUSER298079	772
JIRAUSER298120	773
JIRAUSER298121	774
JIRAUSER298135	775
JIRAUSER298151	776
JIRAUSER298226	777
JIRAUSER298236	778
JIRAUSER298271	779
JIRAUSER298282	780
JIRAUSER298295	781
JIRAUSER298304	782
JIRAUSER298332	783
JIRAUSER298336	784
JIRAUSER298342	785
JIRAUSER298384	786
JIRAUSER298388	787
JIRAUSER298391	788
JIRAUSER298393	789
JIRAUSER298395	790
JIRAUSER298402	791
JIRAUSER298404	792
JIRAUSER298405	793
JIRAUSER298413	794
JIRAUSER298416	795
JIRAUSER298418	796
JIRAUSER298421	797
JIRAUSER298428	798
JIRAUSER298430	799
JIRAUSER298436	800
JIRAUSER298437	801
JIRAUSER298441	802
JIRAUSER298442	803
JIRAUSER298447	804
JIRAUSER298452	805
JIRAUSER298458	806
JIRAUSER298459	807
JIRAUSER298461	808
JIRAUSER298466	809
JIRAUSER298471	810
JIRAUSER298475	811
JIRAUSER298478	812
JIRAUSER298485	813
JIRAUSER298491	814
JIRAUSER298501	815
JIRAUSER298503	816
JIRAUSER298512	817
JIRAUSER298520	818
JIRAUSER298522	819
JIRAUSER298527	820
JIRAUSER298537	821
JIRAUSER298540	822
JIRAUSER298541	823
JIRAUSER298550	824
JIRAUSER298552	825
JIRAUSER298560	826
JIRAUSER298570	827
JIRAUSER298581	828
JIRAUSER298591	829
JIRAUSER298595	830
JIRAUSER298608	831
JIRAUSER298618	832
JIRAUSER298625	833
JIRAUSER298640	834
JIRAUSER298644	835
JIRAUSER298659	836
JIRAUSER298664	837
JIRAUSER298666	838
JIRAUSER298667	839
JIRAUSER298672	840
JIRAUSER298676	841
JIRAUSER298680	842
JIRAUSER298681	843
JIRAUSER298691	844
JIRAUSER298705	845
JIRAUSER298720	846
JIRAUSER298803	847
JIRAUSER298810	848
JIRAUSER298811	849
JIRAUSER298813	850
JIRAUSER298834	851
JIRAUSER298835	852
JIRAUSER298838	853
JIRAUSER298842	854
JIRAUSER298866	855
JIRAUSER298867	856
JIRAUSER298873	857
JIRAUSER298877	858
JIRAUSER298878	859
JIRAUSER298884	860
JIRAUSER298893	861
JIRAUSER298900	862
JIRAUSER298901	863
JIRAUSER298909	864
JIRAUSER298925	865
JIRAUSER298938	866
JIRAUSER298939	867
JIRAUSER298945	868
JIRAUSER298949	869
JIRAUSER298950	870
JIRAUSER298960	871
JIRAUSER298961	872
JIRAUSER298967	873
JIRAUSER298968	874
JIRAUSER298977	875
JIRAUSER298978	876
JIRAUSER298981	877
JIRAUSER298982	878
JIRAUSER298987	879
JIRAUSER298995	880
JIRAUSER298998	881
JIRAUSER299003	882
JIRAUSER299004	883
JIRAUSER299009	884
JIRAUSER299013	885
JIRAUSER299026	886
JIRAUSER299035	887
JIRAUSER299039	888
JIRAUSER299042	889
JIRAUSER299047	890
JIRAUSER299058	891
JIRAUSER299071	892
JIRAUSER299080	893
JIRAUSER299082	894
JIRAUSER299089	895
JIRAUSER299092	896
JIRAUSER299111	897
JIRAUSER299122	898
JIRAUSER299156	899
JIRAUSER299176	900
JIRAUSER299179	901
JIRAUSER299202	902
JIRAUSER299205	903
JIRAUSER299225	904
JIRAUSER299240	905
JIRAUSER299270	906
JIRAUSER299278	907
JIRAUSER299280	908
JIRAUSER299303	909
JIRAUSER299326	910
JIRAUSER299327	911
JIRAUSER299336	912
JIRAUSER299379	913
JIRAUSER299380	914
JIRAUSER299393	915
JIRAUSER299402	916
JIRAUSER299406	917
JIRAUSER299438	918
JIRAUSER299439	919
JIRAUSER299547	920
JIRAUSER299551	921
JIRAUSER299555	922
JIRAUSER299573	923
JIRAUSER299574	924
JIRAUSER299585	925
JIRAUSER299595	926
JIRAUSER299601	927
JIRAUSER299608	928
JIRAUSER299611	929
JIRAUSER299615	930
JIRAUSER299620	931
JIRAUSER299622	932
JIRAUSER299634	933
JIRAUSER299635	934
JIRAUSER299639	935
JIRAUSER299640	936
JIRAUSER299671	937
JIRAUSER299678	938
JIRAUSER299680	939
JIRAUSER299704	940
JIRAUSER299721	941
JIRAUSER299722	942
JIRAUSER299730	943
JIRAUSER299738	944
JIRAUSER299744	945
JIRAUSER299749	946
JIRAUSER299776	947
JIRAUSER299784	948
JIRAUSER299807	949
JIRAUSER299826	950
JIRAUSER299831	951
JIRAUSER299880	952
JIRAUSER299898	953
JIRAUSER299903	954
JIRAUSER299934	955
JIRAUSER299957	956
JIRAUSER299965	957
JIRAUSER299979	958
JIRAUSER299988	959
JIRAUSER300009	960
JIRAUSER300054	961
JIRAUSER300055	962
JIRAUSER300077	963
JIRAUSER300087	964
JIRAUSER300096	965
JIRAUSER300099	966
JIRAUSER300152	967
JIRAUSER300162	968
JIRAUSER300171	969
JIRAUSER300183	970
JIRAUSER300189	971
JIRAUSER300202	972
JIRAUSER300224	973
JIRAUSER300229	974
JIRAUSER300250	975
JIRAUSER300254	976
JIRAUSER300271	977
JIRAUSER300287	978
JIRAUSER300294	979
JIRAUSER300295	980
JIRAUSER300298	981
JIRAUSER300304	982
JIRAUSER300305	983
JIRAUSER300307	984
JIRAUSER300315	985
JIRAUSER300317	986
JIRAUSER300319	987
JIRAUSER300327	988
JIRAUSER300402	989
JIRAUSER300404	990
JIRAUSER300405	991
JIRAUSER300429	992
JIRAUSER300451	993
JIRAUSER300452	994
JIRAUSER300460	995
JIRAUSER300469	996
JIRAUSER300481	997
JIRAUSER300518	998
JIRAUSER300523	999
JIRAUSER300526	1000
JIRAUSER300544	1001
JIRAUSER300549	1002
JIRAUSER300565	1003
JIRAUSER300576	1004
JIRAUSER300580	1005
JIRAUSER300600	1006
JIRAUSER300603	1007
JIRAUSER300605	1008
JIRAUSER300643	1009
JIRAUSER300646	1010
JIRAUSER300666	1011
JIRAUSER300671	1012
JIRAUSER300675	1013
JIRAUSER300701	1014
JIRAUSER300722	1015
JIRAUSER300733	1016
JIRAUSER300749	1017
JIRAUSER300785	1018
JIRAUSER300787	1019
JIRAUSER300813	1020
JIRAUSER300816	1021
JIRAUSER300830	1022
JIRAUSER300832	1023
JIRAUSER300840	1024
JIRAUSER300881	1025
JIRAUSER300887	1026
JIRAUSER300902	1027
JIRAUSER300904	1028
JIRAUSER300914	1029
JIRAUSER300930	1030
JIRAUSER300934	1031
JIRAUSER300938	1032
JIRAUSER300939	1033
JIRAUSER300988	1034
JIRAUSER300998	1035
JIRAUSER301014	1036
JIRAUSER301019	1037
JIRAUSER301024	1038
JIRAUSER301076	1039
JIRAUSER301082	1040
JIRAUSER301087	1041
JIRAUSER301088	1042
JIRAUSER301110	1043
JIRAUSER301111	1044
JIRAUSER301113	1045
JIRAUSER301114	1046
JIRAUSER301126	1047
JIRAUSER301129	1048
JIRAUSER301150	1049
JIRAUSER301152	1050
JIRAUSER301165	1051
JIRAUSER301179	1052
JIRAUSER301185	1053
JIRAUSER301198	1054
JIRAUSER301204	1055
JIRAUSER301219	1056
JIRAUSER301242	1057
JIRAUSER301246	1058
JIRAUSER301255	1059
JIRAUSER301275	1060
JIRAUSER301295	1061
JIRAUSER301309	1062
JIRAUSER301310	1063
JIRAUSER301314	1064
JIRAUSER301334	1065
JIRAUSER301340	1066
JIRAUSER301355	1067
JIRAUSER301358	1068
JIRAUSER301370	1069
JIRAUSER301374	1070
JIRAUSER301378	1071
JIRAUSER301397	1072
JIRAUSER301398	1073
JIRAUSER301408	1074
JIRAUSER301451	1075
JIRAUSER301469	1076
JIRAUSER301503	1077
JIRAUSER301507	1078
JIRAUSER301546	1079
JIRAUSER301600	1080
JIRAUSER301602	1081
JIRAUSER301603	1082
JIRAUSER301606	1083
JIRAUSER301619	1084
JIRAUSER301623	1085
JIRAUSER301630	1086
JIRAUSER301643	1087
JIRAUSER301654	1088
JIRAUSER301657	1089
JIRAUSER301663	1090
JIRAUSER301665	1091
JIRAUSER301682	1092
JIRAUSER301718	1093
JIRAUSER301726	1094
JIRAUSER301755	1095
JIRAUSER301756	1096
JIRAUSER301810	1097
JIRAUSER301839	1098
JIRAUSER301862	1099
JIRAUSER301867	1100
JIRAUSER301876	1101
JIRAUSER301894	1102
JIRAUSER301897	1103
JIRAUSER301926	1104
JIRAUSER301934	1105
JIRAUSER301950	1106
JIRAUSER301955	1107
JIRAUSER301969	1108
JIRAUSER301983	1109
JIRAUSER302002	1110
JIRAUSER302010	1111
JIRAUSER302023	1112
JIRAUSER302032	1113
JIRAUSER302035	1114
JIRAUSER302059	1115
JIRAUSER302115	1116
JIRAUSER302134	1117
JIRAUSER302139	1118
JIRAUSER302153	1119
JIRAUSER302169	1120
JIRAUSER302179	1121
JIRAUSER302192	1122
JIRAUSER302198	1123
JIRAUSER302279	1124
JIRAUSER302289	1125
JIRAUSER302292	1126
JIRAUSER302293	1127
JIRAUSER302294	1128
JIRAUSER302297	1129
JIRAUSER302302	1130
JIRAUSER302308	1131
JIRAUSER302317	1132
JIRAUSER302322	1133
JIRAUSER302341	1134
JIRAUSER302342	1135
JIRAUSER302377	1136
JIRAUSER302390	1137
JIRAUSER302440	1138
JIRAUSER302456	1139
JIRAUSER302462	1140
JIRAUSER302464	1141
JIRAUSER302479	1142
JIRAUSER302491	1143
JIRAUSER302498	1144
JIRAUSER302501	1145
JIRAUSER302509	1146
JIRAUSER302535	1147
JIRAUSER302544	1148
JIRAUSER302551	1149
JIRAUSER302560	1150
JIRAUSER302564	1151
JIRAUSER302569	1152
JIRAUSER302570	1153
JIRAUSER302581	1154
JIRAUSER302583	1155
JIRAUSER302593	1156
JIRAUSER302604	1157
JIRAUSER302607	1158
JIRAUSER302611	1159
